Location,Period,Sex,NCD_Mortality_Rate_Pct
Canada,2020,Both sexes,10
Nigeria,2020,Both sexes,17.9
Nigeria,2019,Both sexes,17.1
Canada,2019,Both sexes,9.6
Nigeria,2018,Both sexes,17.1
Canada,2018,Both sexes,9.8
Canada,2017,Both sexes,10
Nigeria,2017,Both sexes,17.1
Canada,2016,Both sexes,10.4
Nigeria,2016,Both sexes,17.3
Canada,2015,Both sexes,10.4
Nigeria,2015,Both sexes,17.4
Canada,2014,Both sexes,10.5
Nigeria,2014,Both sexes,17.6
Canada,2013,Both sexes,10.6
Nigeria,2013,Both sexes,17.9
Canada,2012,Both sexes,10.8
Nigeria,2012,Both sexes,18
Canada,2011,Both sexes,10.9
Nigeria,2011,Both sexes,18.1
Canada,2010,Both sexes,11.1
Nigeria,2010,Both sexes,18.3
