Location,Period,Dim1,NDC_Deaths_Total
Canada,2020,Both sexes,263363
Nigeria,2020,Both sexes,453840
Canada,2019,Both sexes,256300
Nigeria,2019,Both sexes,426590
Canada,2018,Both sexes,254505
Nigeria,2018,Both sexes,420880
Canada,2017,Both sexes,250833
Nigeria,2017,Both sexes,410650
Canada,2016,Both sexes,243240
Nigeria,2016,Both sexes,407221
Canada,2015,Both sexes,237504
Nigeria,2015,Both sexes,397016
Canada,2014,Both sexes,233123
Nigeria,2014,Both sexes,391151
Canada,2013,Both sexes,226948
Nigeria,2013,Both sexes,384377
Canada,2012,Both sexes,221578
Nigeria,2012,Both sexes,378568
Canada,2011,Both sexes,217818
Nigeria,2011,Both sexes,371655
Canada,2010,Both sexes,216492
Nigeria,2010,Both sexes,364689
